 count | bitstring | b4h  | b8h | b16h 
   153 | 01001010  | 1022 | 22R | 4a
   154 | 01001011  | 1023 | 22V | 4b
   155 | 010011    | 103  | 23  | 4V
   156 | 0100110   | 103G | 23G | 4Z
   157 | 01001100  | 1030 | 23H | 4c
   158 | 01001101  | 1031 | 23M | 4d
   159 | 0100111   | 103Q | 23Q | 4Y
   160 | 01001110  | 1032 | 23R | 4e
   161 | 01001111  | 1033 | 23V | 4f
   162 | 0101      | 11   | 2Q  | 5
   163 | 01010     | 11G  | 2R  | 5G
   164 | 010100    | 110  | 24  | 5H
   165 | 0101000   | 110G | 24G | 5J
   166 | 01010000  | 1100 | 24H | 50
   167 | 01010001  | 1101 | 24M | 51
   168 | 0101001   | 110Q | 24Q | 5K
   169 | 01010010  | 1102 | 24R | 52
   170 | 01010011  | 1103 | 24V | 53
   171 | 010101    | 111  | 25  | 5M
   172 | 0101010   | 111G | 25G | 5N
   173 | 01010100  | 1110 | 25H | 54
   174 | 01010101  | 1111 | 25M | 55
   175 | 0101011   | 111Q | 25Q | 5P
   176 | 01010110  | 1112 | 25R | 56
   177 | 01010111  | 1113 | 25V | 57
   178 | 01011     | 11Q  | 2V  | 5Q
   179 | 010110    | 112  | 26  | 5R
   180 | 0101100   | 112G | 26G | 5S
   181 | 01011000  | 1120 | 26H | 58
   182 | 01011001  | 1121 | 26M | 59
   183 | 0101101   | 112Q | 26Q | 5T
   184 | 01011010  | 1122 | 26R | 5a
   185 | 01011011  | 1123 | 26V | 5b
   186 | 010111    | 113  | 27  | 5V
   187 | 0101110   | 113G | 27G | 5Z
   188 | 01011100  | 1130 | 27H | 5c
   189 | 01011101  | 1131 | 27M | 5d
   190 | 0101111   | 113Q | 27Q | 5Y
   191 | 01011110  | 1132 | 27R | 5e
   192 | 01011111  | 1133 | 27V | 5f
   193 | 011       | 1Q   | 3   | P
   194 | 0110      | 12   | 3G  | 6
   195 | 01100     | 12G  | 3H  | 6G
   196 | 011000    | 120  | 30  | 6H
   197 | 0110000   | 120G | 30G | 6J
   198 | 01100000  | 1200 | 30H | 60
   199 | 01100001  | 1201 | 30M | 61
   200 | 0110001   | 120Q | 30Q | 6K
   201 | 01100010  | 1202 | 30R | 62
   202 | 01100011  | 1203 | 30V | 63
   203 | 011001    | 121  | 31  | 6M
   204 | 0110010   | 121G | 31G | 6N
   205 | 01100100  | 1210 | 31H | 64
   206 | 01100101  | 1211 | 31M | 65
   207 | 0110011   | 121Q | 31Q | 6P
   208 | 01100110  | 1212 | 31R | 66
   209 | 01100111  | 1213 | 31V | 67
   210 | 01101     | 12Q  | 3M  | 6Q
   211 | 011010    | 122  | 32  | 6R
   212 | 0110100   | 122G | 32G | 6S
   213 | 01101000  | 1220 | 32H | 68
   214 | 01101001  | 1221 | 32M | 69
   215 | 0110101   | 122Q | 32Q | 6T
   216 | 01101010  | 1222 | 32R | 6a
   217 | 01101011  | 1223 | 32V | 6b
   218 | 011011    | 123  | 33  | 6V
   219 | 0110110   | 123G | 33G | 6Z
