 count | bitstring | hInt  | hidd 
    13 | 110       | 24579 |   14
    14 | 111       | 28675 |   15
    15 | 0000      |     4 |   16
    16 | 0001      |  2052 |   17
    17 | 0010      |  4100 |   18
    18 | 0011      |  6148 |   19
    19 | 0100      |  8196 |   20
    20 | 0101      | 10244 |   21
    21 | 0110      | 12292 |   22
    22 | 0111      | 14340 |   23
    23 | 1000      | 16388 |   24
    24 | 1001      | 18436 |   25
    25 | 1010      | 20484 |   26
    26 | 1011      | 22532 |   27
    27 | 1100      | 24580 |   28
    28 | 1101      | 26628 |   29
    29 | 1110      | 28676 |   30
    30 | 1111      | 30724 |   31
    31 | 00000     |     5 |   32
    32 | 00001     |  1029 |   33
    33 | 00010     |  2053 |   34
    34 | 00011     |  3077 |   35
    35 | 00100     |  4101 |   36
(35 rows)

 err_msg | count | bitstring | hbig | kbig 
---------+-------+-----------+------+------
(0 rows)

 s | len | rval | lval | lval_rot | lval_rot+len | rval_bin | lval_bin | len_bin | bin(lval_rot+len) 
---+-----+------+------+----------+--------------+----------+----------+---------+-------------------
 0 |   1 |    0 |    0 |        0 |            1 | 0        | 0        | 1       | 01
 1 |   1 |    1 |    1 |        2 |            3 | 1        | 1        | 1       | 11
(2 rows)

 s  | len | rval | lval | lval_rot | lval_rot+len | rval_bin | lval_bin | len_bin | bin(lval_rot+len) 
----+-----+------+------+----------+--------------+----------+----------+---------+-------------------
 0  |   1 |    0 |    0 |        0 |            1 | 00       | 00       | 01      | 0001
 00 |   2 |    0 |    0 |        0 |            2 | 00       | 00       | 10      | 0010
 01 |   2 |    1 |    1 |        4 |            6 | 01       | 01       | 10      | 0110
 1  |   1 |    1 |    2 |        8 |            9 | 01       | 10       | 01      | 1001
 10 |   2 |    2 |    2 |        8 |           10 | 10       | 10       | 10      | 1010
 11 |   2 |    3 |    3 |       12 |           14 | 11       | 11       | 10      | 1110
(6 rows)

  s  | len | rval | lval | lval_rot | lval_rot+len | rval_bin | lval_bin | len_bin | bin(lval_rot+len) 
-----+-----+------+------+----------+--------------+----------+----------+---------+-------------------
 0   |   1 |    0 |    0 |        0 |            1 | 000      | 000      | 01      | 00001
 00  |   2 |    0 |    0 |        0 |            2 | 000      | 000      | 10      | 00010
 000 |   3 |    0 |    0 |        0 |            3 | 000      | 000      | 11      | 00011
 001 |   3 |    1 |    1 |        4 |            7 | 001      | 001      | 11      | 00111
 01  |   2 |    1 |    2 |        8 |           10 | 001      | 010      | 10      | 01010
 010 |   3 |    2 |    2 |        8 |           11 | 010      | 010      | 11      | 01011
 011 |   3 |    3 |    3 |       12 |           15 | 011      | 011      | 11      | 01111
 1   |   1 |    1 |    4 |       16 |           17 | 001      | 100      | 01      | 10001
 10  |   2 |    2 |    4 |       16 |           18 | 010      | 100      | 10      | 10010
 100 |   3 |    4 |    4 |       16 |           19 | 100      | 100      | 11      | 10011
 101 |   3 |    5 |    5 |       20 |           23 | 101      | 101      | 11      | 10111
 11  |   2 |    3 |    6 |       24 |           26 | 011      | 110      | 10      | 11010
 110 |   3 |    6 |    6 |       24 |           27 | 110      | 110      | 11      | 11011
 111 |   3 |    7 |    7 |       28 |           31 | 111      | 111      | 11      | 11111
(14 rows)

  s   | len | rval | lval | lval_rot | lval_rot+len | rval_bin | lval_bin | len_bin | bin(lval_rot+len) 
------+-----+------+------+----------+--------------+----------+----------+---------+-------------------
 0    |   1 |    0 |    0 |        0 |            1 | 0000     | 0000     | 001     | 0000001
 00   |   2 |    0 |    0 |        0 |            2 | 0000     | 0000     | 010     | 0000010
 000  |   3 |    0 |    0 |        0 |            3 | 0000     | 0000     | 011     | 0000011
 0000 |   4 |    0 |    0 |        0 |            4 | 0000     | 0000     | 100     | 0000100
 0001 |   4 |    1 |    1 |        8 |           12 | 0001     | 0001     | 100     | 0001100
 001  |   3 |    1 |    2 |       16 |           19 | 0001     | 0010     | 011     | 0010011
 0010 |   4 |    2 |    2 |       16 |           20 | 0010     | 0010     | 100     | 0010100
 0011 |   4 |    3 |    3 |       24 |           28 | 0011     | 0011     | 100     | 0011100
 01   |   2 |    1 |    4 |       32 |           34 | 0001     | 0100     | 010     | 0100010
 010  |   3 |    2 |    4 |       32 |           35 | 0010     | 0100     | 011     | 0100011
 0100 |   4 |    4 |    4 |       32 |           36 | 0100     | 0100     | 100     | 0100100
 0101 |   4 |    5 |    5 |       40 |           44 | 0101     | 0101     | 100     | 0101100
 011  |   3 |    3 |    6 |       48 |           51 | 0011     | 0110     | 011     | 0110011
 0110 |   4 |    6 |    6 |       48 |           52 | 0110     | 0110     | 100     | 0110100
 0111 |   4 |    7 |    7 |       56 |           60 | 0111     | 0111     | 100     | 0111100
 1    |   1 |    1 |    8 |       64 |           65 | 0001     | 1000     | 001     | 1000001
 10   |   2 |    2 |    8 |       64 |           66 | 0010     | 1000     | 010     | 1000010
 100  |   3 |    4 |    8 |       64 |           67 | 0100     | 1000     | 011     | 1000011
 1000 |   4 |    8 |    8 |       64 |           68 | 1000     | 1000     | 100     | 1000100
 1001 |   4 |    9 |    9 |       72 |           76 | 1001     | 1001     | 100     | 1001100
 101  |   3 |    5 |   10 |       80 |           83 | 0101     | 1010     | 011     | 1010011
 1010 |   4 |   10 |   10 |       80 |           84 | 1010     | 1010     | 100     | 1010100
 1011 |   4 |   11 |   11 |       88 |           92 | 1011     | 1011     | 100     | 1011100
 11   |   2 |    3 |   12 |       96 |           98 | 0011     | 1100     | 010     | 1100010
 110  |   3 |    6 |   12 |       96 |           99 | 0110     | 1100     | 011     | 1100011
 1100 |   4 |   12 |   12 |       96 |          100 | 1100     | 1100     | 100     | 1100100
 1101 |   4 |   13 |   13 |      104 |          108 | 1101     | 1101     | 100     | 1101100
 111  |   3 |    7 |   14 |      112 |          115 | 0111     | 1110     | 011     | 1110011
 1110 |   4 |   14 |   14 |      112 |          116 | 1110     | 1110     | 100     | 1110100
 1111 |   4 |   15 |   15 |      120 |          124 | 1111     | 1111     | 100     | 1111100
(30 rows)

